absolute_mean,absolute_std,absolute_min,absolute_max,absolute_skew,absolute_kurtosis,absolute_var,absolute_range,absolute_median,absolute_rms,prediction
3.6910171999999997,0.38400119768120655,2.8846600000000002,4.5582,0.11361223210207655,-0.8977796297695191,0.14745691982060108,1.67354,3.6468999999999996,1.9212020195700399,walking
3.013336,0.679952853362637,1.79856,4.7084,0.1296267546294036,-0.7339087196484901,0.46233588279599175,2.90984,3.08744,1.7358963102674076,walking
3.5770804,0.34081427825307203,2.7618,4.489,0.093258498530117,-0.5758440821461597,0.1161543722611624,1.7271999999999998,3.6084499999999995,1.8913171072033372,walking
3.2928202,0.4114581977213535,2.44354,4.375,0.2359103197106552,-0.568621664569831,0.16929784847210444,1.93146,3.2897,1.8146129614879312,walking
3.2605242,0.6552439383263206,2.28984,5.0202,0.5509580354030321,-0.7157592309285694,0.42934461871338697,2.73036,3.18678,1.805692166455844,walking
3.37995744,0.3449947570381527,2.5660399999999997,4.098400000000001,-0.2341660003439701,-0.44192072162907303,0.11902138238381402,1.532360000000001,3.3886000000000003,1.838466056254507,walking
2.921921256,0.6427981363094175,1.40248,4.033,-0.49883244991261266,-0.6374134693092843,0.41318944404286045,2.6305200000000006,3.0627700000000004,1.7093628216385193,walking
3.361873904,0.4674808151756405,2.5448,4.5656,0.222083100876593,-0.675680186311924,0.21853831255728134,2.0208,3.3274999999999997,1.8335413559557363,walking
2.92441568,0.31625342300069564,2.24184,3.5980000000000003,0.39927177765554783,-0.46449818348355754,0.10001622755965695,1.3561600000000005,2.8772,1.7100923016024603,walking
3.51707112,0.44481502195390976,2.2624,4.3332,-0.814874128949766,0.5772814781096383,0.19786040375585723,2.0707999999999998,3.57944,1.8753855923516103,walking
2.9414797200000002,0.63124321916755,1.5657999999999999,4.0856,-0.5453190716767325,-0.6202140835833854,0.3984680017450115,2.5198000000000005,3.0598400000000003,1.7150742607828968,walking
